#          80 : dS/dmH (fb)	 #          80 : dS/dmH (fb)
         10.0000            0.156743E-10        0.237792E-11	         10.0000            0.155207E-10        0.107798E-11
         30.0000            0.374156E-09        0.317823E-10	         30.0000            0.476299E-09        0.259120E-10
         50.0000            0.376899E-08        0.308388E-09	         50.0000            0.398154E-08        0.903655E-10
         70.0000            0.218182E-07        0.217945E-08	         70.0000            0.262230E-07        0.512087E-09
         90.0000            0.510864E-06        0.489644E-07	         90.0000            0.550301E-06        0.903245E-08
         110.000            0.402825E-05        0.863416E-07	         110.000            0.641567E-05        0.272487E-07
         130.000            0.201693E-04        0.168891E-06	         130.000            0.529838E-01        0.214846E-04
         150.000            0.128775E-03        0.597039E-06	         150.000            0.118900E-03        0.486930E-06
         170.000            0.181752E-02        0.262602E-05	         170.000            0.166432E-02        0.481326E-05
         190.000            0.273205E-02        0.263203E-05	         190.000            0.251206E-02        0.560741E-05
         210.000            0.276163E-02        0.249771E-05	         210.000            0.255714E-02        0.516356E-05
         230.000            0.257261E-02        0.237838E-05	         230.000            0.239217E-02        0.486839E-05
         250.000            0.232420E-02        0.226357E-05	         250.000            0.218256E-02        0.470806E-05
         270.000            0.207724E-02        0.214740E-05	         270.000            0.193559E-02        0.445169E-05
         290.000            0.184233E-02        0.204581E-05	         290.000            0.170859E-02        0.434138E-05
         310.000            0.163641E-02        0.187614E-05	         310.000            0.151222E-02        0.399733E-05
         330.000            0.145120E-02        0.183528E-05	         330.000            0.132817E-02        0.377896E-05
         350.000            0.129042E-02        0.172849E-05	         350.000            0.117874E-02        0.383194E-05
         370.000            0.114942E-02        0.164494E-05	         370.000            0.104211E-02        0.357687E-05
         390.000            0.102695E-02        0.159824E-05	         390.000            0.924646E-03        0.337776E-05
         410.000            0.921273E-03        0.156020E-05	         410.000            0.820429E-03        0.353817E-05
         430.000            0.824927E-03        0.146703E-05	         430.000            0.727201E-03        0.308051E-05
         450.000            0.750944E-03        0.151135E-05	         450.000            0.649063E-03        0.301783E-05
         470.000            0.679846E-03        0.157360E-05	         470.000            0.581674E-03        0.285383E-05
         490.000            0.622180E-03        0.157176E-05	         490.000            0.525699E-03        0.299309E-05
         510.000            0.569862E-03        0.109363E-05	         510.000            0.465744E-03        0.255882E-05
         530.000            0.521987E-03        0.116429E-05	         530.000            0.418762E-03        0.265726E-05
         550.000            0.483208E-03        0.113315E-05	         550.000            0.374340E-03        0.239131E-05
         570.000            0.451716E-03        0.108227E-05	         570.000            0.337601E-03        0.225131E-05
         590.000            0.422339E-03        0.103398E-05	         590.000            0.304813E-03        0.218549E-05
         610.000            0.398524E-03        0.100652E-05	         610.000            0.274987E-03        0.212594E-05
         630.000            0.379921E-03        0.108998E-05	         630.000            0.250408E-03        0.214567E-05
         650.000            0.365156E-03        0.951080E-06	         650.000            0.225985E-03        0.192081E-05
         670.000            0.353643E-03        0.987319E-06	         670.000            0.209829E-03        0.205016E-05
         690.000            0.343502E-03        0.985558E-06	         690.000            0.188201E-03        0.200519E-05
         710.000            0.337134E-03        0.956418E-06	         710.000            0.166504E-03        0.171715E-05
         730.000            0.330728E-03        0.908726E-06	         730.000            0.152808E-03        0.163489E-05
         750.000            0.324919E-03        0.917123E-06	         750.000            0.141496E-03        0.172081E-05
         770.000            0.316671E-03        0.881019E-06	         770.000            0.129048E-03        0.166906E-05
         790.000            0.303094E-03        0.903807E-06	         790.000            0.115379E-03        0.149522E-05
         810.000            0.284416E-03        0.837928E-06	         810.000            0.104284E-03        0.140175E-05
         830.000            0.262971E-03        0.131572E-05	         830.000            0.981972E-04        0.138727E-05
         850.000            0.236408E-03        0.806142E-06	         850.000            0.903253E-04        0.169819E-05
         870.000            0.211221E-03        0.758827E-06	         870.000            0.813183E-04        0.128527E-05
